id,filename,ident,name,type,frequency_khz,latitude_deg,longitude_deg,elevation_ft,iso_country,magnetic_variation_deg,usage_type,power,associated_airport,power_category
91735,Antananarivo_Ivato_NDB_MG,NT,Antananarivo Ivato,ndb,370,-18.81559944,47.60449982,NA,MG,-15.012,TERMINAL,LOW,NA,High
91736,Narathiwat_NDB_TH,NT,Narathiwat,ndb,383,6.522389889,101.7490005,NA,TH,-0.111,BOTH,MEDIUM,VTSC,High
91737,Newcastle_NDB_GB,NT,Newcastle,ndb,352,55.05039978,-1.642680049,NA,GB,-3.299,TERMINAL,LOW,NA,High
91738,Point_Mugu_TACAN_US,NTD,Point Mugu,tacan,110600,34.12329865,-119.1220016,6,US,13.178,BOTH,MEDIUM,KNTD,High
91739,Notodden_NDB_NO,NTD,Notodden,ndb,400,59.58710098,9.144209862,65,NO,0.318,BOTH,HIGH,ENNO,High
91740,Noto_VOR-DME_JP,NTE,Noto,vor-dme,111450,37.29000092,136.9629974,786,JP,-7.482,LO,HIGH,RJNW,High
91741,Nantong_VOR-DME_CN,NTG,Nantong,vor-dme,115600,32.06330109,120.9779968,9,CN,-5.248,BOTH,HIGH,NA,High
91742,Natal_VOR-DME_BR,NTL,Natal,vor-dme,114300,-5.90831995,-35.24860001,169,BR,-21.504,BOTH,HIGH,SBNT,High
91743,Nortel_VOR-DME_SE,NTL,Nortel,vor-dme,116300,59.74980164,18.76679993,68,SE,4.352,RNAV,HIGH,NA,High
91744,Natal_NDB_BR,NTL,Natal,ndb,400,-5.900000095,-35.24629974,169,BR,-21.502,BOTH,MEDIUM,SBNT,High
91745,Nattenheim_VORTAC_DE,NTM,Nattenheim,vortac,115300,50.01589966,6.53178978,1388,DE,0.092,BOTH,HIGH,NA,High
91746,Normanton_NDB_AU,NTN,Normanton,ndb,311,-17.69580078,141.072998,73,AU,6.099,BOTH,HIGH,YNTN,High
91747,Nantes_VOR-DME_FR,NTS,Nantes,vor-dme,115500,47.16090012,-1.612969995,82,FR,-2.129,BOTH,HIGH,LFRS,High
91748,Oceana_TACAN_US,NTU,Oceana,tacan,116600,36.82419968,-76.03700256,64,US,-10.46,BOTH,MEDIUM,KNTU,High
91749,Narathiwat_VOR-DME_TH,NTW,Narathiwat,vor-dme,116300,6.527289867,101.7450027,18,TH,-0.111,BOTH,HIGH,VTSC,High
91750,Nakuru_NDB_KE,NU,Nakuru,ndb,358,-0.304744005,36.15530014,NA,KE,0.223,BOTH,MEDIUM,NA,High
91751,Bryansk_NDB_RU,NU,Bryansk,ndb,325,53.16999817,34.18830109,NA,RU,7.511,TERMINAL,MEDIUM,UUBP,High
91752,Urgench_NDB_UZ,NU,Urgench,ndb,485,41.54330063,60.68830109,NA,UZ,5.328,BOTH,MEDIUM,UTNU,High
91753,Niue_NDB-DME_NU,NU,Niue,ndb-dme,345,-19.07360077,-169.9170074,311,NU,12.494,BOTH,MEDIUM,NIUE,High
91754,San_Clemente_TACAN_US,NUC,San Clemente,tacan,117600,33.02690125,-118.5800018,161,US,12.568,BOTH,MEDIUM,NA,High
91755,Huanuco_NDB_PE,NUC,Huanuco,ndb,310,-9.878890038,-76.20749664,NA,PE,-1.079,BOTH,MEDIUM,SPNC,High
91756,Adak_TACAN_US,NUD,Adak,tacan,113000,51.87129974,-176.673996,379,US,6.286,BOTH,HIGH,PADK,High
91757,Jinhae_TACAN_KR,NUE,Jinhae,tacan,135500,35.13560104,128.697998,8,KR,-7.118,BOTH,LOW,RKPE,High
91758,Saufley_VOR_US,NUN,Saufley,vor,108800,30.47220039,-87.33580017,80,US,-1.253,LO,MEDIUM,NA,High
91759,Moffett_TACAN_US,NUQ,Moffett,tacan,117600,37.43239975,-122.0579987,0,US,14.365,BOTH,MEDIUM,KNUQ,High
91760,Whidbey_Island_TACAN_US,NUW,Whidbey Island,tacan,113800,48.35490036,-122.6620026,51,US,18,BOTH,HIGH,NA,High
91761,Nairobi_VOR-DME_KE,NV,Nairobi,vor-dme,113100,-1.299900055,36.95420074,5280,KE,0.023,BOTH,HIGH,HKJK,High
91762,Invercargill_VOR-DME_NZ,NV,Invercargill,vor-dme,116800,-46.41159821,168.3179932,5,NZ,24.537,BOTH,HIGH,NZNV,High
91763,Navua_NDB_FJ,NV,Navua,ndb,281,-18.23719978,178.1690063,NA,FJ,12.247,BOTH,MEDIUM,NFNA,High
91764,Schiphol_Locator_NDB_NL,NV,Schiphol Locator,ndb,332,52.15140152,4.764830112,NA,NL,-0.36,TERMINAL,LOW,NA,High
91765,Invercargill_NDB_NZ,NV,Invercargill,ndb,214,-46.41870117,168.3329926,NA,NZ,24.543,BOTH,MEDIUM,NZNV,High
91766,Zabaykalsk_NDB_RU,NV,Zabaykalsk,ndb,684,49.65000153,117.3330002,NA,RU,-8.571,TERMINAL,HIGH,NA,High
